initial_trust,initial_risk,round,quorum
0.1,0.14210526315789473,0,0.63
0.1,0.14210526315789473,1,0.6298837883289956
0.1,0.14210526315789473,2,0.629781130022296
0.1,0.14210526315789473,3,0.6296484658281878
0.1,0.14210526315789473,4,0.629522746920626
0.1,0.14210526315789473,5,0.629411899955054
0.1,0.14210526315789473,6,0.6293294227067827
0.1,0.14210526315789473,7,0.6292291480730884
0.1,0.14210526315789473,8,0.6291452707714427
0.1,0.14210526315789473,9,0.6290353197526479
0.1,0.14210526315789473,10,0.6289129121552
0.1,0.14210526315789473,11,0.6287950049799834
0.1,0.14210526315789473,12,0.6286991264678339
0.1,0.14210526315789473,13,0.6286112937013898
0.1,0.14210526315789473,14,0.6285267980544073
0.1,0.14210526315789473,15,0.628454823669482
0.1,0.14210526315789473,16,0.6283772861495055
0.1,0.14210526315789473,17,0.6282722565069188
0.1,0.14210526315789473,18,0.6281407603639324
0.1,0.14210526315789473,19,0.6280353662089183
0.1,0.14210526315789473,20,0.6279440342570469
0.1,0.14210526315789473,21,0.6278713973289881
0.1,0.14210526315789473,22,0.6277763191692767
0.1,0.14210526315789473,23,0.627695845411392
0.1,0.14210526315789473,24,0.6275907821388162
0.1,0.14210526315789473,25,0.6274571560785689
0.1,0.14210526315789473,26,0.6273816376782458
0.1,0.14210526315789473,27,0.6272587985542348
0.1,0.14210526315789473,28,0.6271424142579928
0.1,0.14210526315789473,29,0.6270194999541365
0.1,0.14210526315789473,30,0.6269222349371484
0.1,0.14210526315789473,31,0.6268406422148066
0.1,0.14210526315789473,32,0.6267437063039333
0.1,0.14210526315789473,33,0.6266561234997549
0.1,0.14210526315789473,34,0.6265285158805523
0.1,0.14210526315789473,35,0.6264605580648182
0.1,0.14210526315789473,36,0.6263862972663685
0.1,0.14210526315789473,37,0.6263007098112262
0.1,0.14210526315789473,38,0.6261971276096264
0.1,0.14210526315789473,39,0.626076376559883
0.1,0.14210526315789473,40,0.6259662487378712
0.1,0.14210526315789473,41,0.6258322434959781
0.1,0.14210526315789473,42,0.625725768977772
0.1,0.14210526315789473,43,0.6256063151877036
0.1,0.14210526315789473,44,0.6255325273052748
0.1,0.14210526315789473,45,0.6254428353450587
0.1,0.14210526315789473,46,0.6253693641062691
0.1,0.14210526315789473,47,0.6253044111418876
0.1,0.14210526315789473,48,0.6252192130151979
0.1,0.14210526315789473,49,0.6250893142283713
0.1,0.14210526315789473,50,0.6249825860439527
0.1,0.14210526315789473,51,0.6248953526247635
0.1,0.14210526315789473,52,0.6247807000959487
0.1,0.14210526315789473,53,0.6246665694844639
0.1,0.14210526315789473,54,0.6245437225642195
0.1,0.14210526315789473,55,0.6244144284304262
0.1,0.14210526315789473,56,0.6242807597448493
0.1,0.14210526315789473,57,0.6242072584266881
0.1,0.14210526315789473,58,0.6241127180065509
0.1,0.14210526315789473,59,0.6239844515227978
0.1,0.14210526315789473,60,0.6238783872749554
0.1,0.14210526315789473,61,0.6237584001321735
0.1,0.14210526315789473,62,0.6236916296667483
0.1,0.14210526315789473,63,0.623613185621858
0.1,0.14210526315789473,64,0.6235279143471263
0.1,0.14210526315789473,65,0.6234507074378933
0.1,0.14210526315789473,66,0.6233451148730766
0.1,0.14210526315789473,67,0.6232215073875047
0.1,0.14210526315789473,68,0.6231109018262345
0.1,0.14210526315789473,69,0.6230286304815927
0.1,0.14210526315789473,70,0.6229335645426071
0.1,0.14210526315789473,71,0.6228487269828606
0.1,0.14210526315789473,72,0.6227640138833956
0.1,0.14210526315789473,73,0.6227089159840458
0.1,0.14210526315789473,74,0.6226430894893407
0.1,0.14210526315789473,75,0.6225696041503472
0.1,0.14210526315789473,76,0.6225009189605712
0.1,0.14210526315789473,77,0.6224256051728508
0.1,0.14210526315789473,78,0.622370559383587
0.1,0.14210526315789473,79,0.6223131515804627
0.1,0.14210526315789473,80,0.6222646561017446
0.1,0.14210526315789473,81,0.622200432825571
0.1,0.14210526315789473,82,0.622119101053515
0.1,0.14210526315789473,83,0.6220554410562177
0.1,0.14210526315789473,84,0.6220029922753216
0.1,0.14210526315789473,85,0.6219166764114519
0.1,0.14210526315789473,86,0.6218629161863929
0.1,0.14210526315789473,87,0.6218299340477442
0.1,0.14210526315789473,88,0.6217934836482313
0.1,0.14210526315789473,89,0.621752807366193
0.1,0.14210526315789473,90,0.6217268205075892
0.1,0.14210526315789473,91,0.6216994777141598
0.1,0.14210526315789473,92,0.6216658312559317
0.1,0.14210526315789473,93,0.6216324516908902
0.1,0.14210526315789473,94,0.6216056398669175
0.1,0.14210526315789473,95,0.6215810901807616
0.1,0.14210526315789473,96,0.6215570855783785
0.1,0.14210526315789473,97,0.6215333287619871
0.1,0.14210526315789473,98,0.6215059662024766
0.1,0.14210526315789473,99,0.6214655130870634
0.1,0.18947368421052632,0,0.63
0.1,0.18947368421052632,1,0.6298558516104481
