theta_seq,physics_alarm_seq
128.824029664586,1
126.54552273734902,1
125.06010391800216,1
124.37291359709089,1
124.2502795849698,1
123.06524876769862,1
122.37912439499232,1
121.69206820527798,1
121.94020308668732,1
121.86145419036396,1
122.61029591742178,1
121.45337070874317,1
120.95949187408348,1
120.7179022835019,1
120.31988935469104,1
119.56463320178544,1
118.92956892189954,1
118.91857447133287,1
118.333280173989,1
118.06884613171488,1
118.46428080068308,1
117.24976857334852,1
117.22420826274214,1
117.10360185728716,1
117.86242185610044,1
116.66326714229356,1
117.26264124151965,1
117.14303306118748,1
117.0302347588505,1
116.71072815248884,1
117.15029030850164,1
117.09334881173754,1
117.24963079205313,1
117.25411503993844,1
118.03234629620844,1
117.89999141305071,1
118.1973730259362,1
117.9859306045038,1
117.78911810207453,1
117.90966583344589,1
116.4681440275898,1
133.2069631117304,1
138.3084955795547,1
167.1646088347086,1
169.06209519399084,1
170.8151426293619,1
169.91912972556668,1
167.32013424982972,1
177.17905264817244,1
176.06878282083585,1
179.15061997438315,1
180.38276495536465,1
176.88659555651688,1
175.94058980072364,1
189.21677750946935,1
203.86255973430207,1
202.77277361270035,1
233.74218811195004,1
262.11671736402667,1
250.01513452394545,1
238.12412638683736,1
229.72191608579828,1
219.2983949983781,1
221.92576068868323,1
214.6923602294657,1
211.00326549531025,1
210.3295500389517,1
212.9301159807917,1
208.77224580281984,1
213.9591030299651,1
207.5498324911548,1
211.56900620967755,1
211.21711957609295,1
209.15695238744507,1
199.93573466729768,1
193.719513105557,1
207.17690016229767,1
203.95058734472013,1
226.45524923031363,1
217.9485763594909,1
225.53852344882992,1
220.09102438218983,1
234.11975724058576,1
239.8074003467028,1
246.9985319285952,1
236.54484913157305,1
225.32020804221824,1
218.1023383407393,1
208.93428152176088,1
210.15055720984915,1
206.1116777586718,1
201.6686126253825,1
204.36126362725065,1
216.6321440844528,1
229.25716599258584,1
228.94497499727103,1
222.25957176551472,1
217.2001275115417,1
210.3398016235496,1
225.26627743872444,1
217.23765770752016,1
215.6245135539688,1
242.779324213373,1
238.96809995673465,1
265.1283527841686,1
255.69251820595048,1
278.0459394810363,1
275.3740687791934,1
286.43073543375806,1
274.02751857888506,1
292.0402040417884,1
297.67280848678274,1
300.86736445189007,1
283.79653167596854,1
296.6027815594897,1
287.19419921655265,1
296.7340856758585,1
278.5414486889367,1
262.5150580406473,1
258.1115967142373,1
254.53532048595116,1
247.99100472784664,1
264.2430966209652,1
262.9498961690684,1
251.10344454066637,1
255.17494644778125,1
243.87205782457332,1
265.09494643613124,1
260.1813430548756,1
253.2750192487343,1
243.2229463831519,1
233.83188030011308,1
245.5908808381049,1
236.72036361008435,1
231.25377940549015,1
228.120217008456,1
254.963184479743,1
250.14541449444295,1
259.8502951529321,1
257.68484172272366,1
256.0138638450448,1
277.44797676046767,1
265.07386830617054,1
261.7577588231802,1
255.31720753747865,1
281.9394574942174,1
267.7298943201549,1
291.88464273086186,1
277.42922228012606,1
261.6653702970869,1
258.39458208459126,1
271.5104751172725,1
260.9981064489758,1
285.79912543585937,1
291.70581793313323,1
276.96070101933475,1
271.8503258396844,1
273.1139100955997,1
262.9599310655752,1
257.25852824979705,1
261.9263905188857,1
258.2713343207837,1
263.36463008898704,1
252.34692326222748,1
264.670256780152,1
253.63727131261052,1
240.87634490856388,1
235.82266566122323,1
234.11045674384204,1
225.05959747665167,1
218.17226055590692,1
211.618477037364,1
205.6994559639712,1
213.3956628878989,1
242.53883584988455,1
242.9633452997276,1
233.48952977580865,1
251.9349275883104,1
270.73731296062874,1
265.0519338232332,1
251.3049923604541,1
241.8396262864136,1
239.587133483316,1
233.4891706312724,1
226.6120953833733,1
229.72754364015464,1
229.15013911739956,1
222.15326552736423,1
219.4049513274076,1
211.55219160266967,1
207.9914246980034,1
199.5232585985212,1
192.07851744160556,1
193.76355398725417,1
192.22307265888463,1
190.8437227268195,1
185.94642815564464,1
181.57975848093503,1
178.37022959912755,1
181.04973536052725,1
197.82530487099228,1
228.54742977464224,1
224.97263183690447,1
220.740164348439,1
235.95693185502225,1
232.67718179752976,1
249.5927801032812,1
239.7141769422573,1
230.60543597493628,1
220.6818780667365,1
221.77318834131808,1
220.7856451622254,1
225.24610410379415,1
215.18910253518996,1
216.39597859863505,1
231.6646862836658,1
251.59951049106573,1
266.2102979014602,1
252.614989450501,1
265.2618243913906,1
261.4578560849591,1
